[004 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 0 | Verificados: 0
[8215 ms] Preparación: 133 | Tránsito: 0 | Entregados: 0 | Fallidos: 95 | Verificados: 171
[8415 ms] Preparación: 137 | Tránsito: 0 | Entregados: 0 | Fallidos: 97 | Verificados: 175
[8615 ms] Preparación: 140 | Tránsito: 0 | Entregados: 0 | Fallidos: 98 | Verificados: 182
[8816 ms] Preparación: 142 | Tránsito: 0 | Entregados: 0 | Fallidos: 99 | Verificados: 187
[9016 ms] Preparación: 141 | Tránsito: 0 | Entregados: 0 | Fallidos: 101 | Verificados: 191
[9217 ms] Preparación: 141 | Tránsito: 0 | Entregados: 0 | Fallidos: 103 | Verificados: 197
[9418 ms] Preparación: 140 | Tránsito: 0 | Entregados: 0 | Fallidos: 105 | Verificados: 201
[9619 ms] Preparación: 139 | Tránsito: 0 | Entregados: 0 | Fallidos: 107 | Verificados: 205
[9819 ms] Preparación: 139 | Tránsito: 0 | Entregados: 0 | Fallidos: 107 | Verificados: 212
[10019 ms] Preparación: 139 | Tránsito: 0 | Entregados: 0 | Fallidos: 108 | Verificados: 218
[10220 ms] Preparación: 137 | Tránsito: 0 | Entregados: 0 | Fallidos: 111 | Verificados: 221
[10420 ms] Preparación: 137 | Tránsito: 0 | Entregados: 0 | Fallidos: 111 | Verificados: 228
[10621 ms] Preparación: 134 | Tránsito: 0 | Entregados: 0 | Fallidos: 116 | Verificados: 230
[10821 ms] Preparación: 133 | Tránsito: 0 | Entregados: 0 | Fallidos: 118 | Verificados: 234
[11021 ms] Preparación: 133 | Tránsito: 0 | Entregados: 0 | Fallidos: 119 | Verificados: 239
[11221 ms] Preparación: 132 | Tránsito: 0 | Entregados: 0 | Fallidos: 120 | Verificados: 246
[11422 ms] Preparación: 128 | Tránsito: 0 | Entregados: 0 | Fallidos: 124 | Verificados: 248
[11622 ms] Preparación: 122 | Tránsito: 0 | Entregados: 0 | Fallidos: 124 | Verificados: 254
[11823 ms] Preparación: 114 | Tránsito: 0 | Entregados: 0 | Fallidos: 127 | Verificados: 259
[12024 ms] Preparación: 108 | Tránsito: 0 | Entregados: 0 | Fallidos: 127 | Verificados: 265
[12224 ms] Preparación: 102 | Tránsito: 0 | Entregados: 0 | Fallidos: 128 | Verificados: 270
[12425 ms] Preparación: 95 | Tránsito: 0 | Entregados: 0 | Fallidos: 132 | Verificados: 273
[12625 ms] Preparación: 88 | Tránsito: 0 | Entregados: 0 | Fallidos: 135 | Verificados: 277
[12826 ms] Preparación: 82 | Tránsito: 0 | Entregados: 0 | Fallidos: 137 | Verificados: 281
[13027 ms] Preparación: 75 | Tránsito: 0 | Entregados: 0 | Fallidos: 141 | Verificados: 284
[13227 ms] Preparación: 68 | Tránsito: 0 | Entregados: 0 | Fallidos: 142 | Verificados: 290
[13428 ms] Preparación: 62 | Tránsito: 0 | Entregados: 0 | Fallidos: 142 | Verificados: 296
[13628 ms] Preparación: 55 | Tránsito: 0 | Entregados: 0 | Fallidos: 142 | Verificados: 303
[13829 ms] Preparación: 48 | Tránsito: 0 | Entregados: 0 | Fallidos: 143 | Verificados: 309
[14029 ms] Preparación: 42 | Tránsito: 0 | Entregados: 0 | Fallidos: 144 | Verificados: 314
[14230 ms] Preparación: 35 | Tránsito: 0 | Entregados: 0 | Fallidos: 149 | Verificados: 316
[14430 ms] Preparación: 28 | Tránsito: 0 | Entregados: 0 | Fallidos: 149 | Verificados: 323
[14631 ms] Preparación: 22 | Tránsito: 0 | Entregados: 0 | Fallidos: 150 | Verificados: 328
[14831 ms] Preparación: 16 | Tránsito: 0 | Entregados: 0 | Fallidos: 152 | Verificados: 332
[15032 ms] Preparación: 8 | Tránsito: 0 | Entregados: 0 | Fallidos: 153 | Verificados: 339
[15233 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 155 | Verificados: 343
[15433 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 155 | Verificados: 345
[15634 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 155 | Verificados: 345
[15835 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 155 | Verificados: 345
[16035 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 155 | Verificados: 345

[16035 ms]  Casilleros fallidos: 91 |  Casilleros funcionales 109
